Category,1Threads,2Threads,4Threads,8Threads
AvgTimes(μs),21367.535,12626.782,8800.985,7513.734
MinTimes(μs),19993,11301,7335,6131
AvgSU,1.0,1.6988480040000016,2.436401970000001,3.056311211000006
SUofAvg,1.0,1.6922391627573836,2.4278572227994935,2.8437971054072446
SUofMin,1.0,1.769135474736749,2.725698704839809,3.260968846843908
