log_2(size),1Threads,2Threads,4Threads,8Threads
15,1.0,1.736842105263158,2.461016949152542,2.1867469879518073
16,1.0,1.813073394495413,2.652684563758389,2.4664586583463337
17,1.0,1.6007836308228123,2.1540714704159343,2.276780185758514
18,1.0,1.7904776674937966,2.6424811169604028,3.2448004496908376
19,1.0,1.2935535623131336,1.5566915313734093,1.5692926969522714
20,1.0,1.2782133121116173,1.3903418299690584,1.357001617832105
