Category,1Threads,2Threads,4Threads,8Threads
AvgTimes(μs),13798.466,8490.738,5368.352,7983.883
MinTimes(μs),11530,6850,4613,3777
AvgSU,1.0,1.6296453709999978,2.5744580600000035,2.717158274999999
SUofAvg,1.0,1.6251197481302568,2.5703355517670974,1.7282901064557183
SUofMin,1.0,1.6832116788321168,2.4994580533275528,3.0526873179772305
