Category,1Threads,2Threads,4Threads,8Threads
AvgTimes(μs),19744.747,11345.748,8126.416,7301.507
MinTimes(μs),18337,9923,6570,5690
AvgSU,1.0,1.750361767,2.4555873400000006,2.9319972539999966
SUofAvg,1.0,1.7402772386624488,2.429699267180021,2.704201612078164
SUofMin,1.0,1.8479290537135946,2.791019786910198,3.222671353251318
