log_2(size),1Threads,2Threads,4Threads,8Threads
14,1.0,1.4008264462809918,1.7295918367346939,1.3452380952380953
15,1.0,1.5548098434004474,2.2063492063492065,1.919889502762431
16,1.0,1.6662933930571109,2.234234234234234,2.361904761904762
17,1.0,1.7259537882858678,2.1470588235294117,2.4745762711864407
18,1.0,1.5582794740361043,2.1606922126081582,2.7724028548770816
19,1.0,1.7928845981943327,2.8028228060368923,3.2549496916585525
20,1.0,1.5273193986065272,1.9000912408759123,1.9643137871403866
21,1.0,1.4790004472594538,1.657949215591137,1.6628438878795744
