Category,1Threads,2Threads,4Threads,8Threads
AvgTimes(μs),12921.636,7787.456,5112.782,5219.784
MinTimes(μs),11507,6353,3993,3541
AvgSU,1.0,1.6638142960000002,2.552551249999998,2.950733492999998
SUofAvg,1.0,1.6592884762366555,2.527319960053059,2.4755116303663143
SUofMin,1.0,1.8112702660160553,2.881793137991485,3.2496469923750353
