log_2(size),1Threads,2Threads,4Threads,8Threads
15,1.0,1.6843657817109146,2.1385767790262173,1.8782894736842106
16,1.0,1.8316251830161054,2.553061224489796,2.2622061482820977
17,1.0,1.5663972286374135,2.6834817012858556,2.601150527325024
18,1.0,1.5989874766853185,2.1933479532163744,2.7339407744874715
19,1.0,1.8150422875553767,2.998502994011976,3.1526757607555087
20,1.0,1.4438496054463872,1.8137925672523714,1.8524635724778655
